customer_id,signup_date,country
12,2023-01-12,India
3,,USA
45,2023-03-01,India
7,2023-01-05,India
19,2023-02-11,USA
2,2023-01-02,India
33,2023-02-25,India
5,,India
27,2023-02-01,USA
41,2023-03-10,India
8,2023-01-08,India
50,2023-03-20,India
11,2023-01-11,India
22,2023-02-15,USA
14,2023-01-14,India
9,,India
30,2023-02-20,India
18,2023-02-09,USA
1,2023-01-01,India
60,2023-03-30,India
25,2023-02-17,USA
6,2023-01-06,India
38,2023-03-02,India
48,2023-03-15,USA
4,2023-01-04,India
17,2023-02-08,India
28,2023-02-02,USA
36,2023-02-28,India
44,2023-03-05,India
10,2023-01-10,India
21,2023-02-14,USA
16,2023-02-07,India
32,2023-02-23,India
47,2023-03-14,USA
13,2023-01-13,India
26,2023-02-18,USA
39,2023-03-03,India
55,2023-03-25,India
23,2023-02-16,USA
31,2023-02-22,India
20,2023-02-13,India
29,2023-02-03,USA
34,2023-02-26,India
42,2023-03-11,India
46,2023-03-13,USA
24,2023-02-17,USA
52,2023-03-22,India
54,2023-03-24,India
56,2023-03-26,India
57,2023-03-27,USA
58,2023-03-28,India
59,2023-03-29,India
51,2023-03-21,USA
53,2023-03-23,India
35,2023-02-27,India
37,2023-03-01,India
40,2023-03-04,India
43,2023-03-12,India
49,2023-03-16,USA
15,2023-01-15,India
